# RDT Density Profile for M = 1.4 M_sun
# EOS: SLy4, α = 0.3
# M_total = 1.400000 M_sun
# R_total = 13.638666 km
# Columns: r (km), P (dyne/cm²), m (M_sun), rho (g/cm³)
2.624679e+00 4.491942e+34 2.176230e-02 4.796803e+14
2.652009e+00 4.484819e+34 2.243888e-02 4.793752e+14
2.679339e+00 4.477630e+34 2.312901e-02 4.790670e+14
2.706669e+00 4.470373e+34 2.383281e-02 4.787555e+14
2.733999e+00 4.463049e+34 2.455040e-02 4.784408e+14
2.761329e+00 4.455658e+34 2.528189e-02 4.781230e+14
2.788659e+00 4.448201e+34 2.602739e-02 4.778019e+14
2.815989e+00 4.440677e+34 2.678702e-02 4.774777e+14
2.843319e+00 4.433087e+34 2.756090e-02 4.771503e+14
2.870649e+00 4.425431e+34 2.834913e-02 4.768196e+14
2.897979e+00 4.417709e+34 2.915184e-02 4.764858e+14
2.925309e+00 4.409921e+34 2.996912e-02 4.761487e+14
2.952639e+00 4.402068e+34 3.080110e-02 4.758085e+14
2.979969e+00 4.394150e+34 3.164789e-02 4.754650e+14
3.007299e+00 4.386167e+34 3.250958e-02 4.751183e+14
3.034629e+00 4.378119e+34 3.338630e-02 4.747684e+14
3.061959e+00 4.370007e+34 3.427815e-02 4.744153e+14
3.089289e+00 4.361830e+34 3.518524e-02 4.740590e+14
3.116619e+00 4.353589e+34 3.610767e-02 4.736995e+14
3.143949e+00 4.345284e+34 3.704555e-02 4.733368e+14
3.171279e+00 4.336915e+34 3.799898e-02 4.729709e+14
3.198609e+00 4.328483e+34 3.896807e-02 4.726017e+14
3.225939e+00 4.319988e+34 3.995293e-02 4.722293e+14
3.253269e+00 4.311430e+34 4.095365e-02 4.718537e+14
3.280599e+00 4.302809e+34 4.197034e-02 4.714749e+14
3.307929e+00 4.294126e+34 4.300309e-02 4.710928e+14
3.335259e+00 4.285380e+34 4.405202e-02 4.707076e+14
3.362589e+00 4.276572e+34 4.511721e-02 4.703191e+14
3.389919e+00 4.267703e+34 4.619876e-02 4.699274e+14
3.417249e+00 4.258772e+34 4.729678e-02 4.695324e+14
3.444579e+00 4.249779e+34 4.841136e-02 4.691342e+14
3.471909e+00 4.240726e+34 4.954260e-02 4.687328e+14
3.499239e+00 4.231611e+34 5.069058e-02 4.683281e+14
3.526569e+00 4.222436e+34 5.185542e-02 4.679203e+14
3.553899e+00 4.213201e+34 5.303719e-02 4.675091e+14
3.581229e+00 4.203905e+34 5.423599e-02 4.670948e+14
3.608559e+00 4.194550e+34 5.545192e-02 4.666772e+14
3.635889e+00 4.185135e+34 5.668506e-02 4.662563e+14
3.663219e+00 4.175661e+34 5.793550e-02 4.658322e+14
3.690549e+00 4.166127e+34 5.920334e-02 4.654049e+14
3.717879e+00 4.156535e+34 6.048865e-02 4.649743e+14
3.745209e+00 4.146884e+34 6.179154e-02 4.645404e+14
3.772539e+00 4.137175e+34 6.311208e-02 4.641033e+14
3.799869e+00 4.127408e+34 6.445035e-02 4.636630e+14
3.827199e+00 4.117583e+34 6.580646e-02 4.632194e+14
3.854529e+00 4.107701e+34 6.718046e-02 4.627725e+14
3.881859e+00 4.097761e+34 6.857246e-02 4.623224e+14
3.909189e+00 4.087765e+34 6.998253e-02 4.618690e+14
3.936519e+00 4.077712e+34 7.141075e-02 4.614124e+14
3.963849e+00 4.067602e+34 7.285720e-02 4.609524e+14
3.991179e+00 4.057436e+34 7.432195e-02 4.604893e+14
4.018509e+00 4.047214e+34 7.580510e-02 4.600228e+14
4.045839e+00 4.036937e+34 7.730671e-02 4.595531e+14
4.073169e+00 4.026604e+34 7.882686e-02 4.590801e+14
4.100499e+00 4.016216e+34 8.036562e-02 4.586038e+14
4.127829e+00 4.005774e+34 8.192307e-02 4.581242e+14
4.155159e+00 3.995277e+34 8.349928e-02 4.576414e+14
4.182489e+00 3.984726e+34 8.509432e-02 4.571552e+14
4.209819e+00 3.974121e+34 8.670826e-02 4.566658e+14
4.237149e+00 3.963462e+34 8.834117e-02 4.561731e+14
4.264479e+00 3.952750e+34 8.999313e-02 4.556771e+14
4.291809e+00 3.941985e+34 9.166419e-02 4.551778e+14
4.319139e+00 3.931167e+34 9.335442e-02 4.546752e+14
4.346469e+00 3.920297e+34 9.506390e-02 4.541693e+14
4.373799e+00 3.909375e+34 9.679268e-02 4.536601e+14
4.401129e+00 3.898401e+34 9.854082e-02 4.531476e+14
4.428459e+00 3.887375e+34 1.003084e-01 4.526318e+14
4.455789e+00 3.876298e+34 1.020955e-01 4.521127e+14
4.483119e+00 3.865170e+34 1.039021e-01 4.515902e+14
4.510449e+00 3.853991e+34 1.057283e-01 4.510645e+14
4.537779e+00 3.842762e+34 1.075742e-01 4.505354e+14
4.565109e+00 3.831483e+34 1.094398e-01 4.500030e+14
4.592439e+00 3.820155e+34 1.113252e-01 4.494673e+14
4.619769e+00 3.808776e+34 1.132304e-01 4.489283e+14
4.647099e+00 3.797349e+34 1.151555e-01 4.483859e+14
4.674429e+00 3.785873e+34 1.171006e-01 4.478402e+14
4.701759e+00 3.774349e+34 1.190656e-01 4.472912e+14
4.729089e+00 3.762776e+34 1.210507e-01 4.467388e+14
4.756419e+00 3.751155e+34 1.230559e-01 4.461831e+14
4.783749e+00 3.739487e+34 1.250812e-01 4.456240e+14
4.811079e+00 3.727772e+34 1.271267e-01 4.450616e+14
4.838409e+00 3.716010e+34 1.291924e-01 4.444958e+14
4.865739e+00 3.704201e+34 1.312784e-01 4.439267e+14
4.893069e+00 3.692346e+34 1.333847e-01 4.433542e+14
4.920399e+00 3.680445e+34 1.355114e-01 4.427784e+14
