# GR Density Profile for M = 1.4 M_sun
# EOS: SLy4
# M_total = 1.400000 M_sun
# R_total = 13.373536 km
# Columns: r (km), P (dyne/cm²), m (M_sun), rho (g/cm³)
2.600471e+00 6.177582e+34 2.492608e-02 5.448144e+14
2.627270e+00 6.164692e+34 2.568865e-02 5.443613e+14
2.654068e+00 6.151690e+34 2.646612e-02 5.439038e+14
2.680867e+00 6.138576e+34 2.725859e-02 5.434416e+14
2.707666e+00 6.125352e+34 2.806620e-02 5.429750e+14
2.734464e+00 6.112017e+34 2.888906e-02 5.425038e+14
2.761263e+00 6.098572e+34 2.972728e-02 5.420281e+14
2.788062e+00 6.085018e+34 3.058098e-02 5.415479e+14
2.814860e+00 6.071356e+34 3.145028e-02 5.410631e+14
2.841659e+00 6.057586e+34 3.233528e-02 5.405739e+14
2.868458e+00 6.043708e+34 3.323610e-02 5.400801e+14
2.895256e+00 6.029724e+34 3.415285e-02 5.395818e+14
2.922055e+00 6.015634e+34 3.508564e-02 5.390790e+14
2.948854e+00 6.001438e+34 3.603457e-02 5.385717e+14
2.975652e+00 5.987138e+34 3.699976e-02 5.380600e+14
3.002451e+00 5.972734e+34 3.798132e-02 5.375437e+14
3.029250e+00 5.958226e+34 3.897934e-02 5.370229e+14
3.056048e+00 5.943615e+34 3.999393e-02 5.364976e+14
3.082847e+00 5.928902e+34 4.102520e-02 5.359679e+14
3.109646e+00 5.914088e+34 4.207324e-02 5.354337e+14
3.136444e+00 5.899173e+34 4.313817e-02 5.348950e+14
3.163243e+00 5.884158e+34 4.422007e-02 5.343518e+14
3.190042e+00 5.869044e+34 4.531906e-02 5.338042e+14
3.216840e+00 5.853830e+34 4.643521e-02 5.332520e+14
3.243639e+00 5.838519e+34 4.756865e-02 5.326955e+14
3.270438e+00 5.823110e+34 4.871945e-02 5.321345e+14
3.297236e+00 5.807605e+34 4.988771e-02 5.315690e+14
3.324035e+00 5.792003e+34 5.107353e-02 5.309990e+14
3.350834e+00 5.776307e+34 5.227700e-02 5.304247e+14
3.377632e+00 5.760515e+34 5.349820e-02 5.298459e+14
3.404431e+00 5.744630e+34 5.473724e-02 5.292626e+14
3.431230e+00 5.728652e+34 5.599420e-02 5.286749e+14
3.458028e+00 5.712581e+34 5.726916e-02 5.280828e+14
3.484827e+00 5.696419e+34 5.856221e-02 5.274863e+14
3.511626e+00 5.680166e+34 5.987344e-02 5.268853e+14
3.538424e+00 5.663822e+34 6.120293e-02 5.262800e+14
3.565223e+00 5.647389e+34 6.255077e-02 5.256702e+14
3.592022e+00 5.630867e+34 6.391703e-02 5.250560e+14
3.618820e+00 5.614257e+34 6.530180e-02 5.244374e+14
3.645619e+00 5.597560e+34 6.670515e-02 5.238144e+14
3.672418e+00 5.580776e+34 6.812717e-02 5.231870e+14
3.699216e+00 5.563907e+34 6.956792e-02 5.225552e+14
3.726015e+00 5.546952e+34 7.102749e-02 5.219191e+14
3.752814e+00 5.529913e+34 7.250595e-02 5.212785e+14
3.779612e+00 5.512791e+34 7.400337e-02 5.206336e+14
3.806411e+00 5.495586e+34 7.551982e-02 5.199843e+14
3.833210e+00 5.478299e+34 7.705538e-02 5.193307e+14
3.860008e+00 5.460931e+34 7.861011e-02 5.186727e+14
3.886807e+00 5.443482e+34 8.018408e-02 5.180103e+14
3.913606e+00 5.425954e+34 8.177736e-02 5.173436e+14
3.940404e+00 5.408347e+34 8.339001e-02 5.166725e+14
3.967203e+00 5.390662e+34 8.502210e-02 5.159971e+14
3.994002e+00 5.372899e+34 8.667368e-02 5.153173e+14
4.020800e+00 5.355060e+34 8.834483e-02 5.146332e+14
4.047599e+00 5.337145e+34 9.003559e-02 5.139448e+14
4.074398e+00 5.319156e+34 9.174604e-02 5.132520e+14
4.101196e+00 5.301092e+34 9.347622e-02 5.125550e+14
4.127995e+00 5.282955e+34 9.522620e-02 5.118536e+14
4.154794e+00 5.264746e+34 9.699602e-02 5.111479e+14
4.181592e+00 5.246465e+34 9.878574e-02 5.104379e+14
4.208391e+00 5.228113e+34 1.005954e-01 5.097236e+14
4.235190e+00 5.209691e+34 1.024251e-01 5.090050e+14
4.261988e+00 5.191199e+34 1.042748e-01 5.082821e+14
4.288787e+00 5.172640e+34 1.061447e-01 5.075550e+14
